0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/hero-img-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/hero-img-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/fruite-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/featur-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/featur-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/vegetable-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/featur-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/vegetable-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:16 +0530] "GET /Project/img/vegetable-item-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/vegetable-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/baner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/vegetable-item-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/best-product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/payment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/img/hero-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:17 +0530] "GET /Project/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:19 +0530] "GET /Project/index.html HTTP/1.1" 200 85715
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:20 +0530] "GET /Project/shop.html HTTP/1.1" 200 41805
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:20 +0530] "GET /Project/img/banner-fruits.jpg HTTP/1.1" 200 53580
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:20 +0530] "GET /Project/img/cart-page-header-img.jpg HTTP/1.1" 200 37306
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:23 +0530] "GET /Project/shop-detail.html HTTP/1.1" 200 50939
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:23 +0530] "GET /Project/img/single-item.jpg HTTP/1.1" 200 148679
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:23 +0530] "GET /Project/img/avatar.jpg HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [02/May/2024:11:41:27 +0530] "GET /Project/contact.html HTTP/1.1" 200 17434
0:0:0:0:0:0:0:1 - - [02/May/2024:11:45:21 +0530] "GET /Project/contact.html HTTP/1.1" 200 17434
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85809
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/css/lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/hero-img-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/hero-img-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/featur-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/fruite-item-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/featur-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/featur-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/vegetable-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/vegetable-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/vegetable-item-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/vegetable-item-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/vegetable-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/baner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/best-product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/payment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/img/hero-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:35 +0530] "GET /Project/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:39 +0530] "GET /Project/registration-page.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:44 +0530] "GET /Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:46:47 +0530] "GET /Project/registration-page.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:00 +0530] "GET /Project/shop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:00 +0530] "GET /Project/img/banner-fruits.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:00 +0530] "GET /Project/img/cart-page-header-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:02 +0530] "GET /Project/shop-detail.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:02 +0530] "GET /Project/img/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:02 +0530] "GET /Project/img/single-item.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:03 +0530] "GET /Project/contact.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:13 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85809
0:0:0:0:0:0:0:1 - - [02/May/2024:11:47:15 +0530] "GET /Project/registration-page.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [02/May/2024:11:57:54 +0530] "GET /Project/registration-page.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [02/May/2024:11:58:04 +0530] "GET /Project/registration-page.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:13 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85820
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/css/lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/hero-img-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/hero-img-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/fruite-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/featur-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/featur-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/featur-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/vegetable-item-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/vegetable-item-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/vegetable-item-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/vegetable-item-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:12:06:14 +0530] "GET /Project/img/vegetable-item-5.jpg HTTP/1.1" 304 -
